,Expected time,k^*
1000,0.0,0
999,1000.0,1
998,1499.9999999999998,1
997,1833.3333333333333,1
996,2083.3333333333335,1
995,2283.3333333333335,1
994,2450.0000000000005,1
993,2592.8571428571436,1
992,2717.8571428571436,1
991,2828.9682539682544,1
990,2928.9682539682544,1
989,3019.8773448773454,1
988,3103.2106782106794,1
987,3180.133755133756,1
986,3251.562326562327,1
985,3318.2289932289937,1
984,3380.7289932289937,1
983,3439.552522640758,1
982,3495.1080781963137,1
981,3547.739657143682,1
980,3597.739657143682,1
979,3645.3587047627293,1
978,3690.8132502172753,1
977,3734.2915110868403,1
976,3775.958177753507,1
975,3815.958177753507,1
974,3854.4197162150454,1
973,3891.4567532520823,1
972,3927.1710389663676,1
971,3961.6537975870574,1
970,3994.9871309203904,1
969,4027.245195436519,1
968,4058.495195436519,1
967,4088.7982257395497,1
966,4118.209990445432,1
965,4146.781419016861,1
964,4174.559196794638,1
963,4201.586223821665,1
962,4227.90201329535,1
961,4253.543038936376,1
960,4278.543038936376,1
959,4302.933282838815,1
958,4326.742806648339,1
957,4349.9986206018275,1
956,4372.7258933291005,1
955,4394.948115551323,1
954,4416.687245986105,1
953,4437.963841730786,1
952,4458.797175064119,1
951,4479.205338329425,1
950,4499.205338329424,1
949,4518.813181466679,1
948,4538.043950697449,1
947,4556.911875225751,1
946,4575.430393744269,1
945,4593.612211926087,1
944,4611.46935478323,1
943,4629.0132144323525,1
942,4646.254593742698,1
941,4663.20374628507,1
940,4679.870412951736,1
939,4696.263855574688,1
938,4712.392887832752,1
937,4728.265903705768,1
936,4743.890903705768,1
935,4759.275519090384,1
934,4774.427034241899,1
933,4789.352407376226,1
932,4804.058289729168,1
931,4818.551043352357,1
930,4832.8367576380715,1
929,4846.921264680325,1
928,4860.810153569214,1
927,4874.5087837062,1
926,4888.022297219713,1
925,4901.355630553047,1
924,4914.513525289889,1
923,4927.500538276902,1
922,4940.321051097415,1
921,4952.979278945516,1
920,4965.479278945516,1
919,4977.824957957861,1
918,4990.020079909081,1
917,5002.068272680165,1
916,5013.9730345849275,1
915,5025.737740467281,1
914,5037.365647444025,1
913,5048.859900317588,1
912,5060.223536681224,1
911,5071.459491737404,1
910,5082.570602848516,1
909,5093.559613837526,1
908,5104.429179054917,1
907,5115.181867226959,1
906,5125.8201650993,1
905,5136.346480888774,1
904,5146.76314755544,1
903,5157.072425905954,1
902,5167.276507538609,1
901,5177.377517639618,1
900,5187.377517639619,1
899,5197.278507738629,1
898,5207.0824293072565,1
897,5216.791167171334,1
896,5226.406551786718,1
895,5235.9303613105285,1
894,5245.364323574679,1
893,5254.710117967203,1
892,5263.969377226463,1
891,5273.143689153068,1
890,5282.234598243977,1
889,5291.243607252987,1
888,5300.172178681559,1
887,5309.021736203682,1
886,5317.793666028244,1
885,5326.489318202157,1
884,5335.11000785733,1
883,5343.65701640434,1
882,5352.131592675526,1
881,5360.534954020064,1
880,5368.868287353398,1
879,5377.132750163315,1
878,5385.32947147479,1
877,5393.459552775604,1
876,5401.524068904635,1
875,5409.524068904635,1
874,5417.460576841143,1
873,5425.3345925891745,1
872,5433.147092589174,1
871,5440.89903057367,1
870,5448.591338265977,1
869,5456.224926052237,1
868,5463.800683627994,1
867,5471.319480620476,1
866,5478.78216718764,1
865,5486.189574595047,1
864,5493.542515771517,1
863,5500.84178584451,1
862,5508.088162656104,1
861,5515.282407260421,1
860,5522.425264403278,1
859,5529.517462984838,1
858,5536.559716505964,1
857,5543.552723498972,1
856,5550.497167943417,1
855,5557.393719667554,1
854,5564.243034736048,1
853,5571.045755824483,1
852,5577.802512581239,1
851,5584.513921977213,1
850,5591.180588643879,1
849,5597.80310520017,1
848,5604.382052568591,1
847,5610.918000281009,1
846,5617.411506774516,1
845,5623.863119677742,1
844,5630.273376087999,1
843,5636.642802839591,1
842,5642.971916763642,1
841,5649.2612249397425,1
840,5655.5112249397425,1
839,5661.722405063965,1
838,5667.895244570139,1
837,5674.030213895293,1
836,5680.1277748709035,1
835,5686.1883809315095,1
834,5692.212477317052,1
833,5698.200501269148,1
832,5704.152882221529,1
831,5710.070041984842,1
830,5715.952394926017,1
829,5721.800348142392,1
828,5727.614301630764,1
827,5733.394648451574,1
826,5739.141774888355,1
825,5744.85606060264,1
824,5750.537878784459,1
823,5756.187596298583,1
822,5761.805573826673,1
821,5767.392166005444,1
820,5772.947721561,1
819,5778.472583439453,1
818,5783.967088933958,1
817,5789.431569808275,1
816,5794.86635241697,1
815,5800.271757822375,1
814,5805.648101908395,1
813,5810.995695491283,1
812,5816.314844427453,1
811,5821.605849718458,1
810,5826.869007613195,1
809,5832.104609707436,1
808,5837.312943040769,1
807,5842.494290191028,1
806,5847.648929366285,1
805,5852.77713449449,1
804,5857.879175310818,1
803,5862.955317442797,1
802,5868.005822493302,1
801,5873.030948121442,1
800,5878.030948121441,1
799,5883.00607249955,1
798,5887.956567549055,1
797,5892.882675923439,1
796,5897.784636707754,1
795,5902.662685488242,1
794,5907.51705442028,1
793,5912.347972294676,1
792,5917.155664602368,1
791,5921.940353597583,1
790,5926.702258359488,1
789,5931.441594852379,1
788,5936.158575984455,1
787,5940.853411665206,1
786,5945.526308861469,1
785,5950.177471652168,1
784,5954.807101281797,1
783,5959.415396212673,1
782,5964.002552175976,1
781,5968.568762221637,1
780,5973.114216767092,1
779,5977.639103644921,1
778,5982.143608149427,1
777,5986.627913082161,1
776,5991.092198796447,1
775,5995.53664324089,1
774,5999.961422001952,1
773,6004.366708345565,1
772,6008.752673257846,1
771,6013.119485484921,1
770,6017.467311571877,1
769,6021.7963159008805,1
768,6026.106660728467,1
767,6030.398506222029,1
766,6034.672010495533,1
765,6038.927329644469,1
764,6043.164617780062,1
763,6047.3840270627625,1
762,6051.585707735032,1
761,6055.769808153442,1
760,6059.936474820109,1
759,6064.08585241347,1
758,6068.2180838184295,1
757,6072.333310155877,1
756,6076.431670811615,1
755,6080.513303464676,1
754,6084.578344115083,1
753,6088.626927111035,1
752,6092.659185175551,1
751,6096.675249432578,1
750,6100.675249432578,1
749,6104.659313177598,1
748,6108.6275671458525,1
747,6112.5801363158125,1
746,6116.517144189828,1
745,6120.438712817278,1
744,6124.344962817278,1
743,6128.236013400936,1
742,6132.111982393185,1
741,6135.972986254189,1
740,6139.819140100343,1
739,6143.650557724865,1
738,6147.4673516179955,1
737,6151.269632986817,1
736,6155.057511774695,1
735,6158.831096680356,1
734,6162.590495176596,1
733,6166.335813528656,1
732,6170.067156812238,1
731,6173.784628931197,1
730,6177.488332634902,1
729,6181.1783695352715,1
728,6184.854840123507,1
727,6188.517843786511,1
726,6192.167478823007,1
725,6195.803842459371,1
724,6199.427030865168,1
723,6203.037139168417,1
722,6206.6342614705745,1
721,6210.218490861256,1
720,6213.789919432685,1
719,6217.348638293894,1
718,6220.894737584675,1
717,6224.428306489268,1
716,6227.949433249832,1
715,6231.458205179656,1
714,6234.9547086761595,1
713,6238.439029233651,1
712,6241.911251455873,1
711,6245.371459068329,1
710,6248.819734930398,1
709,6252.256161047237,1
708,6255.6808185814825,1
707,6259.093787864758,1
706,6262.495148408976,1
705,6265.884978917451,1
704,6269.263357295829,1
703,6272.630360662833,1
702,6275.986065360818,1
701,6279.33054696617,1
700,6282.663880299503,1
699,6285.986139435716,1
698,6289.297397713861,1
697,6292.597727746864,1
696,6295.887201431074,1
695,6299.165889955664,1
694,6302.433863811873,1
693,6305.691192802102,1
692,6308.937946048855,1
691,6312.174192003548,1
690,6315.399998455161,1
689,6318.615432538762,1
688,6321.82056074389,1
687,6325.015448922804,1
686,6328.200162298601,1
685,6331.374765473204,1
684,6334.539322435229,1
683,6337.693896567721,1
682,6340.8385506557715,1
681,6343.973346894017,1
680,6347.098346894017,1
679,6350.213611691524,1
678,6353.319201753636,1
677,6356.4151769858345,1
676,6359.501596738921,1
675,6362.578519815845,1
674,6365.646004478422,1
673,6368.704108453957,1
672,6371.752888941762,1
671,6374.792402619574,1
670,6377.822705649878,1
669,6380.843853686132,1
668,6383.855901878903,1
667,6386.858904881906,1
666,6389.852916857954,1
665,6392.83799148482,1
664,6395.81418196101,1
663,6398.7815410114545,1
662,6401.7401208931105,1
661,6404.689973400485,1
660,6407.631149871073,1
659,6410.563701190721,1
658,6413.4876777989075,1
657,6416.403129693952,1
656,6419.310106438138,1
655,6422.208657162776,1
654,6425.09883057318,1
653,6427.980674953583,1
652,6430.854238171974,1
651,6433.719567684869,1
650,6436.576710542011,1
649,6439.425713391013,1
648,6442.266622481921,1
647,6445.099483671723,1
646,6447.924342428786,1
645,6450.741243837238,1
644,6453.550232601283,1
643,6456.351353049462,1
642,6459.144649138848,1
641,6461.930164459182,1
640,6464.707942236961,1
639,6467.478025339454,1
638,6470.2404562786805,1
637,6472.99527721532,1
636,6475.742529962573,1
635,6478.48225598997,1
634,6481.214496427128,1
633,6483.939292067456,1
632,6486.656683371804,1
631,6489.366710472074,1
630,6492.069413174777,1
629,6494.764830964534,1
628,6497.453003007545,1
627,6500.133968154998,1
626,6502.807764946441,1
625,6505.474431613108,1
624,6508.1340060811945,1
623,6510.786525975093,1
622,6513.432028620597,1
621,6516.070551048037,1
620,6518.702129995405,1
619,6521.326801911416,1
618,6523.944602958536,1
617,6526.555569015976,1
616,6529.159735682644,1
615,6531.757138280047,1
614,6534.347811855177,1
613,6536.931791183341,1
612,6539.50911077097,1
611,6542.079804858374,1
610,6544.643907422475,1
609,6547.201452179508,1
608,6549.752472587672,1
607,6552.297001849759,1
606,6554.835072915748,1
605,6557.366718485369,1
604,6559.891971010622,1
603,6562.41086269828,1
602,6564.92342551235,1
601,6567.4296911765105,1
600,6569.92969117651,1
599,6572.423456762544,1
598,6574.9110189515995,1
597,6577.392408529763,1
596,6579.867656054516,1
595,6582.336791856986,1
594,6584.799846044178,1
593,6587.256848501181,1
592,6589.707828893338,1
591,6592.152816668399,1
590,6594.591841058643,1
589,6597.024931082974,1
588,6599.452115548993,1
587,6601.873423055045,1
586,6604.288881992244,1
585,6606.698520546461,1
584,6609.102366700306,1
583,6611.500448235078,1
582,6613.892792732685,1
581,6616.279427577554,1
580,6618.660379958506,1
579,6621.03567687062,1
578,6623.405345117066,1
577,6625.769411310919,1
576,6628.1279018769565,1
575,6630.480843053428,1
574,6632.828260893804,1
573,6635.170181268512,1
572,6637.506629866644,1
571,6639.837632197647,1
570,6642.163213592996,1
569,6644.483399207846,1
568,6646.79821402266,1
567,6649.107682844831,1
566,6651.41183031027,1
565,6653.710680884983,1
564,6656.004258866634,1
563,6658.292588386085,1
562,6660.575693408917,1
561,6662.853597736935,1
560,6665.126325009661,1
559,6667.393898705805,1
558,6669.65634214472,1
557,6671.913678487835,1
556,6674.165930740087,1
555,6676.413121751323,1
554,6678.655274217691,1
553,6680.892410683015,1
552,6683.124553540158,1
551,6685.351725032363,1
550,6687.573947254586,1
549,6689.791242154808,1
548,6692.003631535339,1
547,6694.211137054102,1
546,6696.413780225908,1
545,6698.611582423711,1
544,6700.804564879852,1
543,6702.992748687292,1
542,6705.176154800829,1
541,6707.354804038302,1
540,6709.52871708178,1
539,6711.697914478745,1
538,6713.862416643247,1
537,6716.02224385707,1
536,6718.177416270864,1
535,6720.327953905273,1
534,6722.473876652054,1
533,6724.615204275181,1
532,6726.751956411932,1
531,6728.884152573979,1
530,6731.011812148447,1
529,6733.134954398977,1
